LotNrRel;Allocate;EstValue;StartPrice;LotsSale;LotsSaleMain;LotsSaleSub;Weekday;SP.EV;yData
0.1185495118549512;0;1500.0;250.0;976;441;14;2;0.16666666666666666;1.0
0.005581395348837209;0;8000.0;750.0;2165;174;8;2;0.09375;1.0
0.33259911894273125;0;1160.0;500.0;364;261;12;2;0.4310344827586207;1.0
0.5070422535211268;0;2500.0;900.0;143;117;40;1;0.36;1.0
0.1365638766519824;1;6960.0;2800.0;364;261;19;2;0.4022988505747127;0.0
0.16178521617852162;0;400.0;200.0;976;441;47;2;0.5;1.0
0.2323943661971831;0;200.0;75.0;285;209;66;2;0.375;1.0
0.8732394366197183;0;10000.0;3500.0;143;117;21;1;0.35;1.0
0.2803738317757009;0;200.0;75.0;205;128;42;1;0.375;1.0
0.01021355617455896;0;2000.0;1000.0;3106;231;9;2;0.5;1.0
0.19154929577464788;0;1750.0;200.0;210;15;4;2;0.11428571428571427;1.0
0.9625550660792952;0;580.0;250.0;364;19;19;2;0.4310344827586207;1.0
0.07507507507507508;0;500.0;175.0;161;118;14;4;0.35;1.0
0.017433751743375175;0;2200.0;250.0;976;441;29;2;0.11363636363636365;1.0
0.13812154696132595;0;250.0;150.0;183;181;15;1;0.6;1.0
0.15341701534170155;0;2000.0;500.0;976;441;47;2;0.25;1.0
0.37901498929336186;0;200.0;100.0;462;97;85;2;0.5;1.0
0.9665144596651446;0;300.0;150.0;631;312;84;2;0.5;1.0
0.034817813765182185;0;450.0;250.0;1166;140;5;2;0.5555555555555556;1.0
0.2934027777777778;0;550.0;400.0;1079;377;30;1;0.7272727272727273;1.0
0.04186046511627907;0;7000.0;3750.0;2165;257;1;2;0.5357142857142857;1.0
0.7708779443254818;0;500.0;250.0;462;212;86;2;0.5;1.0
0.04642525533890436;0;1000.0;500.0;3106;641;209;2;0.5;1.0
0.07273290003095018;0;600.0;450.0;3106;641;94;2;0.75;1.0
0.010523057876818322;0;4000.0;2000.0;3106;231;9;2;0.5;1.0
0.1267605633802817;0;1500.0;600.0;210;163;8;2;0.4;1.0
0.042283298097251586;0;200.0;110.0;454;135;24;4;0.55;1.0
0.0510677808727948;0;300.0;150.0;3106;231;66;2;0.5;1.0
0.09501702259362428;0;200.0;125.0;3106;641;78;2;0.625;1.0
0.5887323943661972;1;450.0;200.0;210;163;21;2;0.4444444444444444;0.0
0.2815829528158295;0;250.0;150.0;631;170;32;2;0.6;1.0
0.724233983286908;0;200.0;100.0;3106;814;107;2;0.5;1.0
0.7202104611575364;0;280.0;140.0;3106;814;107;2;0.5;1.0
0.685785536159601;0;600.0;400.0;326;23;11;3;0.6666666666666666;1.0
0.03695955369595537;1;12500.0;12500.0;976;38;17;2;1.0;0.0
0.09467455621301776;0;15000.0;3500.0;563;201;5;4;0.2333333333333333;1.0
0.048458149779735685;1;2668.0;1000.0;364;261;23;2;0.3748125937031484;0.0
0.6619718309859155;1;2500.0;1750.0;285;209;32;2;0.7;1.0
0.05343511450381679;0;250.0;150.0;784;119;93;3;0.6;1.0
0.9605597964376592;0;200.0;100.0;784;157;25;3;0.5;1.0
0.008372093023255816;0;1500.0;1000.0;2165;174;8;2;0.6666666666666666;1.0
0.0926056338028169;0;200.0;150.0;2843;49;15;2;0.75;1.0
0.0625;0;250.0;150.0;95;31;11;2;0.6;1.0
0.19827586206896552;0;2000.0;1150.0;116;84;35;1;0.575;1.0
0.04154929577464789;0;600.0;250.0;2843;351;145;2;0.4166666666666667;1.0
0.5443786982248521;0;200.0;100.0;563;201;64;4;0.5;1.0
0.01625;0;1500.0;1000.0;721;40;2;2;0.6666666666666666;1.0
0.5880281690140845;0;2000.0;900.0;285;209;32;2;0.45;1.0
0.4604651162790698;0;200.0;100.0;2165;318;93;2;0.5;1.0
0.7251624883936861;0;200.0;100.0;3106;814;107;2;0.5;1.0
0.0599721059972106;1;14000.0;6500.0;976;68;12;2;0.4642857142857143;0.0
0.9949748743718592;0;300.0;210.0;460;249;152;4;0.7;1.0
0.16437246963562754;0;350.0;230.0;1166;447;100;2;0.6571428571428571;1.0
0.6;1;700.0;300.0;210;163;21;2;0.42857142857142855;0.0
0.03138075313807531;0;13000.0;6000.0;976;38;17;2;0.4615384615384616;1.0
0.2563380281690141;1;950.0;400.0;210;163;14;2;0.42105263157894735;0.0
0.09952229299363058;0;550.0;250.0;1177;153;46;3;0.4545454545454545;1.0
0.04225352112676056;0;2350.0;1000.0;210;163;15;2;0.425531914893617;1.0
0.8591549295774648;1;3350.0;1000.0;143;117;21;1;0.29850746268656714;0.0
0.0006973500697350072;0;19000.0;9000.0;976;441;29;2;0.4736842105263158;1.0
0.003944773175542407;0;750.0;500.0;563;201;64;4;0.6666666666666666;1.0
